date,BTC,ETH,XRP
2019-07-18,807822745.2,132637638.8,41034748.08
2019-07-19,589931612.3,81600507.57,21723291.88
2019-07-20,505569016.4,74182517.24,27729535.56
2019-07-21,409661486.0,60421739.05,20985358.45
2019-07-22,421016379.4,59602149.04,20794379.39
2019-07-23,478441909.4,67930201.67,19990194.79
2019-07-24,422534162.1,69281797.02,21031280.79
2019-07-25,378938450.1,62017449.36,17408784.04
2019-07-26,265108103.1,42839496.54,17390073.67
2019-07-27,424932725.0,63931823.16,20077776.26
2019-07-28,278537286.1,45414505.79,13205456.19
2019-07-29,277497756.8,47853275.13,12160589.27
2019-07-30,310867928.3,46627086.48,16493828.11
2019-07-31,389690761.4,44416634.9,15611152.43
2019-08-01,422156523.7,40054998.68,14465865.36
2019-08-02,450323284.2,45116694.86,13509244.26
2019-08-03,363852799.9,40285734.53,12570636.58
2019-08-04,431793873.4,29836777.69,16836080.92
2019-08-05,757976547.2,70962003.84,27896049.92
2019-08-06,904119081.6,78590684.02,23246485.48
2019-08-07,814597979.1,63135096.49,18897622.56
2019-08-08,604389131.1,52730777.07,17625369.38
2019-08-09,467011047.9,49415315.75,17288289.04
2019-08-10,492217964.5,52534644.57,17414209.87
2019-08-11,304862403.4,39875149.55,10872100.39
2019-08-12,200325471.6,26091487.96,7958806.063
2019-08-13,368994475.5,34861802.4,9634244.27
2019-08-14,567724729.1,63597043.19,38446280.88
2019-08-15,387705855.1,44183760.71,19154006.83
2019-08-16,527258446.4,51945182.47,17250832.84
2019-08-17,297776329.0,25599796.9,14887433.66
2019-08-18,248508872.5,33655229.09,24368646.47
2019-08-19,396233441.0,47675347.06,19652851.26
2019-08-20,346664453.1,37412398.98,13562253.57
2019-08-21,482889274.5,53434048.95,16072611.98
2019-08-22,341371442.9,46426395.05,15653020.23
2019-08-23,282732431.8,37022930.57,12336542.78
2019-08-24,279962133.6,31786227.86,11569289.12
2019-08-25,265132761.3,31935951.29,12245907.45
2019-08-26,432249835.5,48298621.32,16038543.39
2019-08-27,289340681.1,29513243.5,9160037.93
2019-08-28,420034883.0,59498959.97,14351204.18
2019-08-29,337838761.6,49838097.17,18910937.66
2019-08-30,255854874.5,40216956.6,11878607.93
2019-08-31,164116756.5,32983642.84,9309855.463
2019-09-01,188513289.1,32627380.93,8396989.384
2019-09-02,448462178.6,51446380.45,15660047.93
2019-09-03,505617667.4,58621819.36,14738850.84
2019-09-04,463526509.3,50629395.49,12827285.99
2019-09-05,358861340.8,40247496.56,11089322.56
2019-09-06,623662984.4,54567316.61,16136824.77
2019-09-07,287851131.2,44282963.31,13824418.38
2019-09-08,249900964.4,52424648.72,17002657.73
2019-09-09,409724831.9,49340881.23,15205988.48
2019-09-10,294323839.5,43067898.91,15995536.3
2019-09-11,321637085.5,49657474.98,14279228.06
2019-09-12,353390091.0,36419973.23,14843159.9
2019-09-13,311632094.3,47382425.19,12086872.25
2019-09-14,244063007.1,51424561.39,18393277.18
2019-09-15,185853330.4,54373471.39,13494004.95
2019-09-16,296325130.2,106449156.0,11582013.03
2019-09-17,233944812.6,145945114.9,61450339.08
2019-09-18,247024351.6,114703107.3,93346877.96
2019-09-19,447676493.0,179595728.8,82282462.0
2019-09-20,255205290.2,95069640.62,46476133.73
2019-09-21,206034034.5,90638548.24,33163246.27
2019-09-22,220133631.6,93662351.5,32630853.07
2019-09-23,314390584.6,80922890.46,42540797.19
2019-09-24,838996309.2,263412071.5,74890289.35
2019-09-25,512437200.4,147619414.1,40828894.01
2019-09-26,552794530.9,127948136.3,30233595.4
2019-09-27,352800745.2,106461443.9,21396438.05
2019-09-28,280672404.7,90120971.17,10912438.14
2019-09-29,253660600.3,69327213.65,10450612.05
2019-09-30,449120676.8,100443187.8,39681370.17
2019-10-01,362980689.9,109337395.1,31747823.25
2019-10-02,216325351.9,61530973.8,24270217.96
2019-10-03,250291751.3,62001237.48,17609786.13
2019-10-04,215325611.7,58470302.14,22794419.62
2019-10-05,177252877.0,48647162.44,20818475.3
2019-10-06,275447898.0,54241930.13,16049454.66
2019-10-07,420921679.8,87617964.57,57283043.35
2019-10-08,290675248.1,72432729.98,33759866.37
2019-10-09,462845251.8,105551736.5,29652647.36
2019-10-10,333925412.3,83367952.39,22049865.1
2019-10-11,424413201.5,115872479.8,19245009.01
2019-10-12,177707852.6,52895345.38,15793462.49
2019-10-13,232149438.4,45067340.42,19658319.6
2019-10-14,247530733.2,51494870.28,43914160.13
2019-10-15,270727559.8,73998014.45,43050670.16
2019-10-16,279586845.5,61180262.78,31117606.76
2019-10-17,238343204.5,52578052.94,43648518.98
2019-10-18,248931322.1,55285684.61,38944008.26
2019-10-19,211909734.1,51269466.04,30340201.86
2019-10-20,275899861.7,51654250.07,32197424.45
2019-10-21,250117281.6,47204344.24,20925101.97
2019-10-22,283535483.4,44176123.21,30355779.12
2019-10-23,488220760.6,121126428.2,51332366.5
2019-10-24,243246414.9,62419095.11,27095997.91
2019-10-25,737329544.9,157496890.7,58012555.97
2019-10-26,1522244166.0,222906937.8,80688942.42
2019-10-27,887438297.7,132329593.4,53575550.19
2019-10-28,759178942.9,106933716.7,40059342.62
2019-10-29,600611324.6,99024969.84,43828554.09
2019-10-30,506584830.0,99508269.89,35044956.87
2019-10-31,498152743.7,74696032.73,29601327.49
2019-11-01,398803069.0,60092727.14,24809316.47
2019-11-02,268119579.7,32936676.71,21323849.06
2019-11-03,256664259.7,42260620.38,20112216.21
2019-11-04,426792003.2,59357371.31,25105863.27
2019-11-05,428156963.1,73036074.78,32311660.74
2019-11-06,348607499.8,65471595.21,32657633.9
2019-11-07,361217475.1,58150631.28,69353199.83
2019-11-08,555589996.0,67305417.41,46386875.33
2019-11-09,259733491.8,35441967.77,17509161.48
2019-11-10,307316853.9,51648623.29,20319030.73
2019-11-11,394585996.3,47746876.46,19091462.71
2019-11-12,352675938.4,47636043.35,21181919.67
2019-11-13,235060554.1,36936429.94,14359109.12
2019-11-14,290104307.0,45523714.1,19366232.44
2019-11-15,394708981.3,74217250.17,29381854.31
2019-11-16,177222838.4,31378510.02,13670861.71
2019-11-17,229995700.8,36509968.7,13707451.7
2019-11-18,358706174.8,52985734.28,25302252.64
2019-11-19,353463792.0,48414106.96,21882500.8
2019-11-20,263387575.5,38001672.19,19902291.15
2019-11-21,455166676.3,78641896.23,27594274.95
2019-11-22,917881536.3,147595324.6,41301641.15
2019-11-23,364446217.4,55595157.56,20015819.08
2019-11-24,481922941.3,51503705.18,21702594.78
2019-11-25,831628458.3,106186791.3,48844307.83
2019-11-26,469602476.9,51873405.04,19092485.28
2019-11-27,671646609.2,83505998.05,26524670.22
2019-11-28,427572714.9,48324220.62,13310126.06
2019-11-29,463006956.7,50649319.12,13672137.93
2019-11-30,358749026.4,34617912.18,11052152.99
2019-12-01,446524917.2,51148792.08,13691786.76
2019-12-02,337889295.5,34768563.47,14526198.88
2019-12-03,242379261.1,29061161.1,7614717.26
2019-12-04,608623482.8,63840615.24,24000030.16
2019-12-05,434738864.8,43777241.59,20382570.69
2019-12-06,356905919.0,32549526.4,16179037.21
2019-12-07,237000924.9,20799551.35,10596180.4
2019-12-08,223314325.6,30606289.29,12372294.13
2019-12-09,347471155.5,36345702.35,12075583.63
2019-12-10,363127435.4,29746845.43,9920308.103
2019-12-11,217095653.9,22772651.17,5820575.256
2019-12-12,303657479.5,37425277.04,10844545.42
2019-12-13,199836160.2,23203419.96,11344997.48
2019-12-14,211004228.0,18027581.36,6831705.157
2019-12-15,187402764.6,21495196.82,5695553.744
2019-12-16,307508569.9,63632055.58,18111443.95
2019-12-17,364087469.8,71709329.27,49983422.82
2019-12-18,654057202.2,110566290.6,39019551.7
2019-12-19,397407677.1,53766864.19,16898416.26
2019-12-20,229842650.4,27266605.48,27304791.68
2019-12-21,139069157.1,17199278.79,11107941.81
2019-12-22,285577206.9,32938501.02,10331460.61
2019-12-23,510710431.8,55501305.92,18435268.92
2019-12-24,318428019.0,25667665.14,12636776.75
2019-12-25,198273303.1,28144469.16,7478003.202
2019-12-26,263289799.0,34943780.91,8857810.273
2019-12-27,242214722.7,30020098.89,6588601.727
2019-12-28,196322192.4,25177121.15,7086061.707
2019-12-29,231731575.8,41893078.36,9561940.205
2019-12-30,216508875.5,42636559.38,8159012.311
2019-12-31,187518399.3,34678632.18,7799069.732
2020-01-01,121214452.1,18952318.53,5771433.604
2020-01-02,225982341.3,27486853.39,9073315.019
